code,num_gap_segments_norm,av_gap_segment_length,gaps_len_one,gaps_len_two,gaps_len_three,gaps_len_four_plus,num_unique_gaps,num_unique_gaps_norm,avg_unique_gap_length,gaps_1seq_len1,gaps_2seq_len1,gaps_1seq_len2,gaps_2seq_len2,gaps_1seq_len3,gaps_2seq_len3,gaps_1seq_len4plus,gaps_2seq_len4plus,gaps_all_except_1_len1,gaps_all_except_1_len2,gaps_all_except_1_len3,gaps_all_except_1_len4plus,num_cols_no_gaps,num_cols_1_gap,num_cols_2_gaps,num_cols_all_gaps_except1,single_char_count,double_char_count,seq_max_len,seq_min_len
'bali_phy_msa.118.fas', 76.557, 17.434, 9.329, 6.386, 4.586, 56.257, 120, 1.714, 59.933, 10, 3, 7, 1, 5, 1, 98, 12, 0, 0, 0, 0, 0, 7, 20, 1138, 2211, 1423, 280, 107
'bali_phy_msa.119.fas', 73.8, 17.666, 14.7, 4.671, 4.557, 49.871, 115, 1.643, 54.174, 4, 3, 7, 1, 6, 0, 98, 13, 0, 0, 0, 0, 0, 7, 19, 1115, 2141, 1141, 280, 107
'bali_phy_msa.12.fas', 75.0, 17.623, 12.886, 3.643, 3.843, 54.629, 131, 1.871, 51.908, 9, 3, 6, 0, 10, 0, 106, 10, 0, 0, 0, 0, 0, 7, 16, 1139, 2169, 1363, 280, 107
'bali_phy_msa.120.fas', 74.3, 17.856, 10.286, 9.257, 2.886, 51.871, 120, 1.714, 54.525, 8, 4, 8, 1, 4, 2, 100, 12, 0, 0, 0, 0, 0, 6, 17, 1152, 1977, 1458, 280, 107
'bali_phy_msa.121.fas', 76.6, 17.085, 11.171, 6.429, 2.757, 56.243, 112, 1.6, 58.795, 8, 3, 2, 2, 6, 0, 96, 9, 0, 0, 0, 0, 0, 8, 19, 1133, 2502, 973, 280, 107
'bali_phy_msa.122.fas', 78.4, 17.203, 12.986, 7.357, 1.943, 56.114, 120, 1.714, 58.15, 9, 3, 7, 1, 7, 2, 97, 13, 0, 0, 0, 0, 0, 8, 17, 1156, 2335, 1433, 280, 107
'bali_phy_msa.123.fas', 76.614, 17.5, 10.943, 8.386, 3.657, 53.629, 127, 1.814, 56.646, 13, 1, 6, 1, 8, 0, 100, 12, 0, 0, 0, 0, 0, 8, 18, 1159, 1977, 1846, 280, 107
'bali_phy_msa.124.fas', 80.486, 16.621, 12.029, 8.029, 3.686, 56.743, 117, 1.671, 61.222, 12, 2, 3, 0, 7, 1, 95, 12, 0, 0, 0, 0, 0, 8, 18, 1143, 2491, 1427, 280, 107
'bali_phy_msa.125.fas', 79.057, 16.883, 13.786, 3.686, 2.8, 58.786, 117, 1.671, 56.863, 6, 1, 6, 1, 9, 1, 96, 13, 0, 0, 0, 0, 0, 8, 19, 1148, 2544, 1327, 280, 107
'bali_phy_msa.126.fas', 75.057, 17.236, 11.171, 8.257, 1.957, 53.671, 125, 1.786, 50.752, 15, 3, 4, 3, 8, 1, 98, 15, 0, 0, 0, 0, 0, 8, 19, 1116, 2146, 1269, 280, 107
'bali_phy_msa.127.fas', 73.314, 17.455, 13.057, 4.6, 2.814, 52.843, 123, 1.757, 49.341, 12, 3, 7, 1, 9, 0, 95, 12, 0, 0, 0, 0, 0, 11, 24, 1098, 2038, 1146, 280, 107
'bali_phy_msa.128.fas', 77.386, 17.144, 11.886, 3.7, 1.986, 59.814, 110, 1.571, 64.155, 6, 1, 7, 0, 8, 1, 89, 11, 0, 0, 0, 0, 0, 8, 14, 1147, 2573, 1254, 280, 107
'bali_phy_msa.129.fas', 70.5, 18.365, 8.5, 4.6, 4.629, 52.771, 130, 1.857, 47.9, 16, 2, 8, 1, 4, 0, 102, 11, 0, 0, 0, 0, 0, 7, 24, 1123, 1841, 1074, 280, 107
'bali_phy_msa.13.fas', 78.357, 16.983, 11.114, 7.514, 3.643, 56.086, 127, 1.814, 58.323, 9, 3, 4, 3, 9, 0, 105, 8, 0, 0, 0, 0, 0, 8, 13, 1147, 2580, 1009, 280, 107
'bali_phy_msa.130.fas', 71.814, 18.474, 8.6, 5.443, 4.657, 53.114, 124, 1.771, 55.726, 9, 3, 4, 2, 6, 1, 105, 10, 0, 0, 0, 0, 0, 5, 21, 1140, 1942, 996, 280, 107
'bali_phy_msa.131.fas', 79.457, 16.848, 12.057, 5.529, 4.643, 57.229, 120, 1.714, 53.167, 7, 1, 8, 1, 6, 1, 99, 14, 0, 0, 0, 0, 0, 4, 25, 1155, 2771, 1081, 280, 107
'bali_phy_msa.132.fas', 81.186, 15.997, 12.971, 6.357, 4.586, 57.271, 122, 1.743, 54.492, 8, 2, 6, 1, 9, 0, 99, 9, 0, 0, 0, 0, 0, 7, 24, 1123, 2867, 990, 280, 107
'bali_phy_msa.133.fas', 79.057, 16.807, 10.171, 6.371, 3.671, 58.843, 121, 1.729, 57.372, 13, 3, 7, 1, 6, 1, 95, 11, 0, 0, 0, 0, 0, 7, 19, 1143, 2463, 1195, 280, 107
'bali_phy_msa.134.fas', 72.829, 17.887, 10.243, 5.543, 5.386, 51.657, 116, 1.657, 55.543, 9, 4, 4, 1, 5, 0, 98, 15, 0, 0, 0, 0, 0, 8, 19, 1119, 1997, 1200, 280, 107
'bali_phy_msa.135.fas', 79.214, 16.685, 14.043, 7.114, 2.757, 55.3, 116, 1.657, 58.103, 14, 3, 5, 1, 5, 1, 92, 11, 0, 0, 0, 0, 0, 7, 20, 1132, 2389, 1452, 280, 107
'bali_phy_msa.136.fas', 77.671, 16.798, 14.857, 4.586, 5.486, 52.743, 115, 1.643, 60.061, 8, 1, 5, 0, 5, 1, 97, 10, 0, 0, 0, 0, 0, 6, 23, 1131, 2476, 1187, 280, 107
'bali_phy_msa.137.fas', 77.371, 17.044, 11.057, 3.8, 7.343, 55.171, 130, 1.857, 52.485, 15, 0, 10, 3, 7, 0, 98, 16, 0, 0, 0, 0, 0, 9, 19, 1132, 2372, 1239, 280, 107
'bali_phy_msa.138.fas', 78.286, 16.832, 6.414, 6.386, 5.643, 59.843, 125, 1.786, 55.576, 12, 2, 4, 0, 4, 1, 105, 10, 0, 0, 0, 0, 0, 8, 17, 1135, 2447, 1245, 280, 107
'bali_phy_msa.139.fas', 73.329, 17.834, 8.557, 6.457, 4.771, 53.543, 133, 1.9, 54.805, 7, 2, 4, 2, 10, 0, 112, 10, 0, 0, 0, 0, 0, 6, 24, 1105, 2112, 1070, 280, 107
'bali_phy_msa.14.fas', 74.729, 17.607, 6.686, 7.343, 3.7, 57.0, 122, 1.743, 58.352, 11, 1, 5, 2, 5, 1, 101, 5, 0, 0, 0, 0, 0, 6, 17, 1138, 2027, 1245, 280, 107
'bali_phy_msa.140.fas', 71.457, 18.385, 9.5, 8.229, 4.443, 49.286, 128, 1.829, 52.992, 14, 1, 5, 3, 5, 0, 104, 11, 0, 0, 0, 0, 0, 7, 13, 1133, 1783, 1256, 280, 107
'bali_phy_msa.141.fas', 69.286, 18.845, 6.686, 9.043, 2.786, 50.771, 125, 1.786, 53.792, 16, 2, 4, 2, 5, 0, 100, 12, 0, 0, 0, 0, 0, 7, 18, 1118, 1575, 1202, 280, 107
'bali_phy_msa.142.fas', 79.614, 16.426, 10.371, 7.286, 4.571, 57.386, 114, 1.629, 56.772, 6, 3, 5, 1, 5, 1, 98, 10, 0, 0, 0, 0, 0, 4, 18, 1125, 2417, 1258, 280, 107
'bali_phy_msa.143.fas', 76.543, 17.215, 7.486, 8.143, 5.543, 55.371, 120, 1.714, 57.733, 10, 3, 5, 2, 5, 2, 100, 10, 0, 0, 0, 0, 0, 5, 14, 1130, 2277, 1294, 280, 107
'bali_phy_msa.144.fas', 81.043, 16.235, 17.214, 9.186, 5.543, 49.1, 105, 1.5, 62.048, 6, 0, 4, 1, 5, 3, 90, 14, 0, 0, 0, 0, 0, 7, 17, 1126, 2358, 1607, 280, 107
'bali_phy_msa.145.fas', 72.1, 18.387, 8.386, 7.371, 3.657, 52.686, 133, 1.9, 53.271, 11, 1, 5, 2, 6, 1, 111, 11, 0, 0, 0, 0, 0, 8, 17, 1132, 1904, 1122, 280, 107
'bali_phy_msa.146.fas', 76.614, 17.199, 12.071, 4.614, 4.6, 55.329, 115, 1.643, 61.496, 11, 2, 7, 1, 7, 1, 90, 14, 0, 0, 0, 0, 0, 6, 22, 1127, 2211, 1319, 280, 107
'bali_phy_msa.147.fas', 77.429, 16.954, 12.029, 4.657, 4.671, 56.071, 126, 1.8, 55.381, 8, 2, 7, 1, 10, 0, 101, 10, 0, 0, 0, 0, 0, 6, 11, 1121, 2032, 1439, 280, 107
'bali_phy_msa.148.fas', 76.586, 17.454, 11.986, 6.414, 2.829, 55.357, 129, 1.843, 56.566, 7, 1, 6, 1, 8, 1, 108, 11, 0, 0, 0, 0, 0, 7, 12, 1136, 2461, 1118, 280, 107
'bali_phy_msa.149.fas', 73.557, 18.037, 11.829, 5.343, 2.8, 53.586, 125, 1.786, 55.752, 11, 1, 5, 0, 10, 1, 99, 11, 0, 0, 0, 0, 0, 5, 18, 1141, 1889, 1265, 280, 107
'bali_phy_msa.15.fas', 76.457, 17.536, 11.029, 6.371, 3.714, 55.343, 120, 1.714, 54.083, 10, 1, 4, 2, 11, 0, 95, 13, 0, 0, 0, 0, 0, 6, 19, 1158, 2436, 832, 280, 107
'bali_phy_msa.150.fas', 76.071, 17.046, 11.2, 10.129, 1.857, 52.886, 124, 1.771, 52.661, 15, 0, 5, 1, 7, 1, 97, 8, 0, 0, 0, 0, 0, 9, 23, 1121, 2280, 1207, 280, 107
'bali_phy_msa.151.fas', 77.514, 16.742, 10.414, 7.4, 3.671, 56.029, 115, 1.643, 56.643, 11, 2, 4, 1, 6, 0, 94, 10, 0, 0, 0, 0, 0, 8, 21, 1114, 2571, 1011, 280, 107
'bali_phy_msa.152.fas', 74.9, 17.5, 11.186, 6.314, 4.671, 52.729, 122, 1.743, 56.598, 11, 1, 5, 1, 6, 2, 100, 13, 0, 0, 0, 0, 0, 9, 18, 1103, 2084, 1215, 280, 107
'bali_phy_msa.153.fas', 77.186, 17.007, 12.9, 5.629, 2.8, 55.857, 108, 1.543, 59.231, 8, 1, 5, 3, 5, 2, 90, 9, 0, 0, 0, 0, 0, 8, 18, 1122, 2424, 957, 280, 107
'bali_phy_msa.154.fas', 77.571, 17.18, 7.629, 8.929, 3.729, 57.286, 120, 1.714, 60.25, 8, 5, 1, 2, 7, 2, 104, 8, 0, 0, 0, 0, 0, 5, 17, 1144, 2335, 1333, 280, 107
'bali_phy_msa.155.fas', 75.6, 17.668, 10.329, 6.486, 4.643, 54.143, 124, 1.771, 55.169, 9, 3, 11, 1, 8, 2, 96, 8, 0, 0, 0, 0, 0, 6, 14, 1155, 2216, 1299, 280, 107
'bali_phy_msa.156.fas', 72.986, 18.054, 12.971, 4.586, 4.6, 50.829, 131, 1.871, 52.275, 11, 0, 7, 1, 6, 2, 107, 7, 0, 0, 0, 0, 0, 8, 15, 1137, 2125, 1086, 280, 107
'bali_phy_msa.157.fas', 78.514, 17.038, 9.443, 9.043, 8.286, 51.743, 135, 1.929, 56.807, 14, 5, 1, 0, 9, 1, 111, 10, 0, 0, 0, 0, 0, 4, 20, 1145, 2227, 1562, 280, 107
'bali_phy_msa.158.fas', 73.214, 18.039, 13.1, 4.529, 3.729, 51.857, 129, 1.843, 55.752, 10, 0, 6, 1, 7, 2, 106, 8, 0, 0, 0, 0, 0, 4, 21, 1136, 1976, 1194, 280, 107
'bali_phy_msa.159.fas', 72.786, 17.98, 8.457, 6.4, 3.729, 54.2, 114, 1.629, 60.026, 10, 2, 4, 1, 6, 1, 94, 12, 0, 0, 0, 0, 0, 5, 21, 1127, 2203, 995, 280, 107
'bali_phy_msa.16.fas', 79.129, 16.931, 10.457, 6.286, 5.5, 56.886, 126, 1.8, 56.992, 13, 1, 6, 0, 6, 1, 101, 14, 0, 0, 0, 0, 0, 7, 19, 1159, 2395, 1306, 280, 107
'bali_phy_msa.160.fas', 80.329, 16.367, 13.957, 6.529, 4.571, 55.271, 118, 1.686, 54.407, 5, 3, 9, 2, 7, 0, 97, 15, 0, 0, 0, 0, 0, 7, 20, 1122, 2531, 1253, 280, 107
'bali_phy_msa.161.fas', 73.257, 18.452, 6.786, 6.129, 3.843, 56.5, 135, 1.929, 53.304, 12, 5, 4, 2, 8, 1, 111, 9, 0, 0, 0, 0, 0, 7, 17, 1169, 2092, 1128, 280, 107
'bali_phy_msa.162.fas', 79.5, 16.336, 11.2, 4.629, 4.643, 59.029, 123, 1.757, 52.675, 9, 2, 8, 2, 6, 1, 100, 10, 0, 0, 0, 0, 0, 7, 22, 1110, 2480, 1381, 280, 107
'bali_phy_msa.163.fas', 70.429, 18.994, 8.714, 6.4, 2.757, 52.557, 124, 1.771, 60.347, 10, 3, 6, 1, 5, 0, 103, 12, 0, 0, 0, 0, 0, 7, 15, 1146, 1915, 1302, 280, 107
'bali_phy_msa.164.fas', 75.4, 17.423, 10.914, 7.257, 4.543, 52.686, 115, 1.643, 60.243, 6, 2, 6, 2, 4, 1, 99, 7, 0, 0, 0, 0, 0, 3, 18, 1128, 2319, 1051, 280, 107
'bali_phy_msa.165.fas', 72.1, 18.54, 11.786, 4.543, 3.729, 52.043, 139, 1.986, 53.683, 8, 1, 6, 1, 9, 0, 116, 12, 0, 0, 0, 0, 0, 6, 20, 1154, 2133, 1205, 280, 107
'bali_phy_msa.166.fas', 77.429, 17.07, 11.229, 5.271, 2.814, 58.114, 121, 1.729, 56.975, 11, 2, 4, 0, 7, 1, 99, 10, 0, 0, 0, 0, 0, 8, 16, 1138, 2459, 1185, 280, 107
'bali_phy_msa.167.fas', 70.386, 18.522, 7.386, 7.371, 2.871, 52.757, 121, 1.729, 53.967, 9, 3, 7, 1, 6, 1, 99, 15, 0, 0, 0, 0, 0, 9, 17, 1121, 1795, 992, 280, 107
'bali_phy_msa.168.fas', 79.129, 16.868, 14.486, 6.443, 4.6, 53.6, 121, 1.729, 58.289, 7, 4, 6, 0, 6, 0, 102, 9, 0, 0, 0, 0, 0, 4, 18, 1151, 2377, 1327, 280, 107
'bali_phy_msa.169.fas', 70.043, 19.198, 9.329, 4.414, 4.629, 51.671, 127, 1.814, 58.89, 9, 2, 5, 2, 5, 1, 108, 15, 0, 0, 0, 0, 0, 8, 18, 1154, 1935, 1118, 280, 107
'bali_phy_msa.17.fas', 77.243, 17.111, 11.957, 5.5, 2.786, 57.0, 128, 1.829, 51.82, 11, 1, 5, 2, 7, 0, 105, 11, 0, 0, 0, 0, 0, 5, 18, 1134, 2310, 1366, 280, 107
'bali_phy_msa.170.fas', 78.571, 16.707, 10.257, 5.614, 8.143, 54.557, 124, 1.771, 51.685, 14, 0, 5, 1, 5, 1, 100, 13, 0, 0, 0, 0, 0, 9, 18, 1130, 2277, 1558, 280, 107
'bali_phy_msa.171.fas', 77.4, 16.715, 12.071, 7.157, 3.7, 54.471, 123, 1.757, 56.211, 10, 1, 4, 1, 9, 1, 100, 11, 0, 0, 0, 0, 0, 9, 25, 1112, 2446, 1021, 280, 107
'bali_phy_msa.172.fas', 81.743, 16.243, 13.7, 8.943, 3.914, 55.186, 113, 1.614, 60.575, 8, 1, 1, 0, 9, 1, 95, 11, 0, 0, 0, 0, 0, 7, 13, 1132, 2635, 1431, 280, 107
'bali_phy_msa.173.fas', 75.271, 17.307, 8.657, 8.029, 1.071, 57.514, 127, 1.814, 51.638, 10, 2, 6, 1, 12, 1, 99, 8, 0, 0, 0, 0, 0, 6, 20, 1123, 2100, 1338, 280, 107
'bali_phy_msa.174.fas', 71.829, 18.512, 7.557, 4.643, 3.743, 55.886, 128, 1.829, 58.773, 9, 3, 9, 2, 9, 0, 101, 8, 0, 0, 0, 0, 0, 10, 9, 1147, 1948, 1178, 280, 107
'bali_phy_msa.175.fas', 71.929, 18.514, 6.771, 5.343, 3.657, 56.157, 127, 1.814, 55.551, 9, 4, 7, 1, 6, 1, 105, 10, 0, 0, 0, 0, 0, 6, 19, 1150, 1517, 1634, 280, 107
'bali_phy_msa.176.fas', 73.929, 17.919, 8.571, 7.357, 3.729, 54.271, 125, 1.786, 54.816, 17, 2, 4, 2, 6, 2, 98, 11, 0, 0, 0, 0, 0, 9, 14, 1140, 1966, 1488, 280, 107
'bali_phy_msa.177.fas', 72.457, 18.393, 8.6, 7.257, 4.614, 51.986, 122, 1.743, 55.869, 15, 3, 3, 1, 4, 2, 100, 12, 0, 0, 0, 0, 0, 8, 14, 1143, 2168, 774, 280, 107
'bali_phy_msa.178.fas', 75.957, 17.177, 7.557, 9.1, 4.6, 54.7, 118, 1.686, 55.169, 14, 4, 4, 2, 5, 1, 95, 16, 0, 0, 0, 0, 0, 5, 21, 1125, 2456, 1124, 280, 107
'bali_phy_msa.179.fas', 72.929, 18.562, 9.343, 6.443, 5.5, 51.643, 127, 1.814, 57.709, 13, 2, 4, 3, 4, 2, 106, 11, 0, 0, 0, 0, 0, 4, 17, 1167, 1844, 1488, 280, 107
'bali_phy_msa.18.fas', 73.014, 18.266, 12.029, 4.614, 4.686, 51.686, 129, 1.843, 55.814, 12, 2, 7, 1, 6, 1, 104, 9, 0, 0, 0, 0, 0, 7, 15, 1156, 1978, 978, 280, 107
'bali_phy_msa.180.fas', 74.9, 17.753, 12.0, 7.329, 1.071, 54.5, 115, 1.643, 54.426, 14, 2, 5, 1, 7, 1, 89, 9, 0, 0, 0, 0, 0, 5, 25, 1137, 2441, 846, 280, 107
'bali_phy_msa.181.fas', 78.143, 16.824, 11.943, 6.529, 2.857, 56.814, 121, 1.729, 55.917, 9, 1, 5, 1, 8, 1, 99, 11, 0, 0, 0, 0, 0, 7, 18, 1132, 2576, 1294, 280, 107
'bali_phy_msa.182.fas', 76.429, 17.385, 14.786, 4.529, 1.886, 55.229, 109, 1.557, 57.486, 7, 2, 5, 0, 7, 0, 90, 15, 0, 0, 0, 0, 0, 8, 14, 1145, 2275, 1175, 280, 107
'bali_phy_msa.183.fas', 72.957, 18.02, 11.9, 3.771, 5.471, 51.814, 128, 1.829, 53.539, 9, 2, 4, 3, 6, 1, 109, 11, 0, 0, 0, 0, 0, 8, 18, 1129, 2062, 917, 280, 107
'bali_phy_msa.184.fas', 76.357, 17.166, 7.486, 8.186, 3.686, 57.0, 126, 1.8, 53.262, 8, 3, 5, 2, 7, 0, 106, 9, 0, 0, 0, 0, 0, 6, 18, 1122, 1813, 1807, 280, 107
'bali_phy_msa.185.fas', 78.071, 17.16, 11.843, 5.386, 3.743, 57.1, 117, 1.671, 58.12, 8, 0, 6, 2, 8, 1, 95, 12, 0, 0, 0, 0, 0, 10, 14, 1158, 2506, 1360, 280, 107
'bali_phy_msa.186.fas', 78.471, 16.614, 15.971, 5.543, 3.586, 53.371, 109, 1.557, 60.165, 7, 1, 4, 3, 3, 1, 95, 11, 0, 0, 0, 0, 0, 8, 20, 1118, 2640, 947, 280, 107
'bali_phy_msa.187.fas', 79.271, 16.963, 14.614, 6.457, 3.657, 54.543, 115, 1.643, 58.661, 10, 1, 5, 1, 7, 1, 93, 11, 0, 0, 0, 0, 0, 7, 18, 1163, 2703, 1067, 280, 107
'bali_phy_msa.188.fas', 74.243, 17.978, 10.271, 4.671, 4.643, 54.657, 125, 1.786, 53.4, 13, 3, 7, 0, 8, 0, 97, 14, 0, 0, 0, 0, 0, 10, 21, 1149, 2030, 1163, 280, 107
'bali_phy_msa.189.fas', 76.571, 17.313, 12.871, 3.786, 1.871, 58.043, 127, 1.814, 59.465, 9, 0, 4, 1, 7, 3, 107, 10, 0, 0, 0, 0, 0, 8, 16, 1142, 2398, 1201, 280, 107
'bali_phy_msa.19.fas', 74.529, 17.734, 9.314, 8.186, 3.729, 53.3, 125, 1.786, 53.36, 12, 1, 11, 0, 7, 0, 95, 16, 0, 0, 0, 0, 0, 6, 21, 1134, 2021, 1233, 280, 107
'bali_phy_msa.190.fas', 73.229, 17.844, 12.057, 4.714, 3.729, 52.729, 131, 1.871, 51.153, 15, 1, 6, 3, 5, 1, 105, 11, 0, 0, 0, 0, 0, 8, 19, 1125, 2022, 1092, 280, 107
'bali_phy_msa.191.fas', 73.186, 17.8, 13.914, 4.229, 5.5, 49.543, 120, 1.714, 52.717, 4, 1, 12, 1, 5, 2, 99, 12, 0, 0, 0, 0, 0, 9, 22, 1118, 2091, 1186, 280, 107
'bali_phy_msa.192.fas', 78.757, 16.846, 13.771, 4.6, 2.8, 57.586, 122, 1.743, 53.262, 10, 1, 3, 2, 6, 1, 103, 9, 0, 0, 0, 0, 0, 8, 21, 1126, 2433, 1177, 280, 107
'bali_phy_msa.193.fas', 77.557, 16.745, 11.1, 6.386, 4.6, 55.471, 126, 1.8, 55.508, 7, 2, 4, 1, 7, 0, 108, 8, 0, 0, 0, 0, 0, 9, 20, 1118, 2283, 1360, 280, 107
'bali_phy_msa.194.fas', 85.157, 15.756, 11.171, 8.086, 5.329, 60.571, 119, 1.7, 61.395, 13, 0, 3, 0, 5, 1, 98, 13, 0, 0, 0, 0, 0, 7, 14, 1144, 2751, 1273, 280, 107
'bali_phy_msa.195.fas', 74.614, 17.701, 11.829, 3.714, 4.557, 54.514, 121, 1.729, 52.521, 12, 2, 7, 1, 9, 1, 93, 12, 0, 0, 0, 0, 0, 6, 21, 1140, 2143, 1309, 280, 107
'bali_phy_msa.196.fas', 74.4, 17.281, 6.829, 8.157, 3.743, 55.671, 123, 1.757, 49.374, 13, 2, 6, 2, 8, 0, 96, 15, 0, 0, 0, 0, 0, 11, 18, 1105, 1904, 1669, 280, 107
'bali_phy_msa.197.fas', 76.371, 17.333, 13.786, 3.629, 4.443, 54.514, 121, 1.729, 54.645, 12, 2, 7, 1, 6, 1, 96, 9, 0, 0, 0, 0, 0, 7, 21, 1142, 2245, 1274, 280, 107
'bali_phy_msa.198.fas', 76.043, 17.473, 7.5, 8.986, 3.714, 55.843, 120, 1.714, 57.317, 7, 0, 4, 1, 9, 1, 100, 14, 0, 0, 0, 0, 0, 6, 15, 1143, 2473, 1070, 280, 107
