code,taxa_num,constant_sites_pct,n_unique_sites,pypythia_msa_difficulty,entropy_mean,entropy_median,entropy_var,entropy_pct_25,entropy_pct_75,entropy_min,entropy_max,av_gaps,msa_len,seq_max_len,seq_min_len,total_gaps,gaps_len_one,gaps_len_two,gaps_len_three,gaps_len_three_plus,avg_unique_gap,num_unique_gaps,gaps_1seq_len1,gaps_2seq_len1,gaps_all_except_1_len1,gaps_1seq_len2,gaps_2seq_len2,gaps_all_except_1_len2,gaps_1seq_len3,gaps_2seq_len3,gaps_all_except_1_len3,gaps_1seq_len3plus,gaps_2seq_len3plus,gaps_all_except_1_len3plus,num_cols_no_gaps,num_cols_1_gap,num_cols_2_gaps,num_cols_all_gaps_except1,msa_path,sp_score,normalized_sp_score,score
DENND5A,40,0.84696174,758,-1,0.105249401,0.105249401,0.10316447,0,0,0,2.523619516,3.857893712,1333,875,802,5137,2406,965,450,1316,4.949640288,139,47,8,24,21,6,4,15,1,5,56,6,9,482,206,55,394,/Users/kpolonsky/Downloads/TEST//MSAs//DENND5A_TRUE.fas,3589292,0.9969,0.0173
LACC1,40,0.715547703,446,-1,0.163939679,0.163939679,0.112872215,0,0.126260618,0,1.876733975,3.814553161,566,329,274,2831,1233,361,344,893,5.073170732,82,33,6,9,10,2,1,8,0,0,31,6,4,118,85,35,173,/Users/kpolonsky/Downloads/TEST//MSAs//LACC1_TRUE.fas,1074843.5,0.9993,0.0282
RINT1,40,0.774680604,617,-1,0.149157078,0.149157078,0.120103418,0,0,0,2.157212638,3.366650649,861,534,481,4162,2139,686,277,1060,5.839416058,137,36,5,13,28,3,2,9,4,1,64,2,3,195,187,58,283,/Users/kpolonsky/Downloads/TEST//MSAs//RINT1_TRUE.fas,2047221.5,0.9953,0.0279
NOD1,40,0.750189825,929,-1,0.185725975,0.185725975,0.169207901,0,0,0,2.427469168,3.943090538,1317,640,540,7345,3114,1326,856,2049,7.0125,240,72,12,7,43,7,5,25,3,2,100,23,5,147,174,105,601,/Users/kpolonsky/Downloads/TEST//MSAs//NOD1_TRUE.fas,2004744.5,0.992,0.0557
SPHKAP,40,0.715428571,1657,-1,0.196891701,0.196891701,0.15426252,0,0.210283412,0,2.22331622,4.215502095,2625,1161,1011,14798,6510,2643,1314,4331,8.433264887,487,137,19,17,71,10,4,46,6,0,233,30,9,202,294,207,1166,/Users/kpolonsky/Downloads/TEST//MSAs//SPHKAP_TRUE.fas,3316051,0.9929,0.079
AP3M2,40,0.8434238,346,-1,0.110763087,0.110763087,0.107679066,0,0,0,1.972625886,4.133670886,479,299,242,1975,762,382,233,598,6.690909091,55,24,3,5,5,1,2,3,1,3,23,3,3,102,98,47,177,/Users/kpolonsky/Downloads/TEST//MSAs//AP3M2_TRUE.fas,1187801.5,0.9967,0.0182
FGF1,40,0.796703297,151,-1,0.13869935,0.13869935,0.146649723,0,0,0,2.588061443,3.118865867,182,119,96,917,315,232,76,294,3.727272727,22,7,2,2,4,1,1,3,0,0,8,1,3,58,36,2,62,/Users/kpolonsky/Downloads/TEST//MSAs//FGF1_TRUE.fas,473289.5,0.9966,0.0317
TUBD1,40,0.765027322,555,-1,0.139744505,0.139744505,0.101095633,0,0,0,1.809799034,5.043169722,732,343,260,3382,1079,941,257,1105,8.825688073,109,33,2,7,12,3,6,10,0,0,54,6,3,92,92,63,375,/Users/kpolonsky/Downloads/TEST//MSAs//TUBD1_TRUE.fas,1117511.5,0.9879,0.0432
KCNJ6,40,0.82781457,365,-1,0.181602373,0.181602373,0.250216558,0,0,0,2.427135811,3.909190372,453,290,230,1828,961,135,188,544,6.688311688,77,26,2,3,12,2,0,7,0,0,32,6,2,76,82,44,116,/Users/kpolonsky/Downloads/TEST//MSAs//KCNJ6_TRUE.fas,995809,0.9976,0.0425
CCDC104,40,0.731034483,349,-1,0.165807141,0.165807141,0.127953015,0,0.119246926,0,1.823264107,3.98951049,435,252,210,2002,996,338,40,628,7.041666667,48,14,3,7,7,4,2,4,0,0,23,4,3,102,79,25,168,/Users/kpolonsky/Downloads/TEST//MSAs//CCDC104_TRUE.fas,895183,0.9943,0.0203
GORASP2,40,0.774257426,390,-1,0.138632331,0.138632331,0.116770463,0,0,0,2.244774939,3.989748369,505,311,251,2146,754,438,199,755,5.71641791,67,19,5,8,12,0,5,10,0,1,26,2,5,116,81,42,176,/Users/kpolonsky/Downloads/TEST//MSAs//GORASP2_TRUE.fas,1211773,0.9982,0.0245
NFKBIZ,40,0.75699888,676,-1,0.155683896,0.155683896,0.131388205,0,0,0,2.046347428,3.678395194,893,489,430,4661,1965,878,595,1223,6.161764706,136,46,8,13,23,2,2,15,0,3,52,7,3,169,141,83,354,/Users/kpolonsky/Downloads/TEST//MSAs//NFKBIZ_TRUE.fas,1775758,0.9966,0.0329
VAT1L,40,0.862204724,351,-1,0.105496562,0.105496562,0.109464591,0,0,0,2.075898359,5.278500781,508,290,227,1921,695,394,123,709,7.633333333,60,21,5,2,4,1,1,5,2,1,30,4,2,105,67,27,182,/Users/kpolonsky/Downloads/TEST//MSAs//VAT1L_TRUE.fas,1008144,1.001,0.0412
ERLIN2,40,0.829787234,292,-1,0.154944198,0.154944198,0.184275219,0,0,0,2.449709481,3.114344053,376,240,182,1959,956,378,143,482,5.235294118,51,21,3,5,7,0,3,3,0,0,20,1,3,95,55,19,102,/Users/kpolonsky/Downloads/TEST//MSAs//ERLIN2_TRUE.fas,828457,0.9929,0.0462
KIAA0141,40,0.737242128,670,-1,0.162486925,0.162486925,0.114814199,0,0.119246926,0,1.891053111,4.04590638,921,383,296,5533,2075,1023,717,1718,8.586956522,184,48,7,11,28,4,0,20,2,0,88,9,4,71,107,79,399,/Users/kpolonsky/Downloads/TEST//MSAs//KIAA0141_TRUE.fas,1201749.5,0.9998,0.065
KIF18A,40,0.7416,850,-1,0.144814169,0.144814169,0.10144841,0,0.116906849,0,1.889543874,4.205806866,1250,632,542,6234,2990,875,426,1943,5.952054795,146,48,8,20,25,7,4,17,3,5,56,17,8,286,110,76,527,/Users/kpolonsky/Downloads/TEST//MSAs//KIF18A_TRUE.fas,2221281,0.9964,0.0432
ISM1,40,0.786885246,328,-1,0.16165424,0.16165424,0.160842199,0,0,0,2.276771129,2.903111111,427,284,231,2250,998,420,406,426,6.551724138,58,14,2,9,13,1,3,6,0,3,25,1,4,110,75,36,110,/Users/kpolonsky/Downloads/TEST//MSAs//ISM1_TRUE.fas,1068089.5,0.9941,0.0272
SLC7A7,40,0.840667678,465,-1,0.11120655,0.11120655,0.111546855,0,0,0,2.234547594,4.727832067,659,365,305,2763,938,406,351,1068,6.457446809,94,34,3,3,15,0,3,7,0,2,38,4,4,128,121,37,227,/Users/kpolonsky/Downloads/TEST//MSAs//SLC7A7_TRUE.fas,1320953,1.002,0.0307
FLT3,40,0.795332136,1084,-1,0.156063197,0.156063197,0.15288147,0,0,0,2.59247752,4.44959746,1671,742,632,8819,3813,1880,639,2487,9.157894737,285,74,13,15,41,10,2,26,5,1,144,11,2,161,209,132,714,/Users/kpolonsky/Downloads/TEST//MSAs//FLT3_TRUE.fas,2296663,0.998,0.0613
RNF157,40,0.824249166,635,-1,0.146646463,0.146646463,0.163013601,0,0,0,2.465944116,4.077884401,899,470,412,4481,2101,722,316,1342,6.793650794,126,40,7,8,18,1,3,14,5,2,54,4,6,175,127,61,398,/Users/kpolonsky/Downloads/TEST//MSAs//RNF157_TRUE.fas,1646613,0.9972,0.0358
PRCP,40,0.770666667,557,-1,0.156610599,0.156610599,0.13372586,0,0,0,2.15515314,3.546968688,750,388,309,4503,2216,732,490,1065,6.595890411,146,46,5,13,25,6,3,10,1,2,65,8,3,111,82,61,316,/Users/kpolonsky/Downloads/TEST//MSAs//PRCP_TRUE.fas,1248164.5,0.9963,0.0621
USP6NL,40,0.774774775,854,-1,0.168240447,0.168240447,0.164292799,0,0,0,2.336293309,3.815729047,1221,629,525,6968,2929,1324,792,1923,7.426666667,225,71,6,13,37,6,7,15,4,1,102,17,2,133,144,113,512,/Users/kpolonsky/Downloads/TEST//MSAs//USP6NL_TRUE.fas,1871927.5,0.9945,0.0738
SLC18A1,40,0.771353482,541,-1,0.168243371,0.168243371,0.155023911,0,0,0,2.070656695,4.962684321,761,392,321,3323,1147,651,383,1142,7.074074074,108,35,6,5,13,5,5,11,2,1,49,6,2,119,109,38,318,/Users/kpolonsky/Downloads/TEST//MSAs//SLC18A1_TRUE.fas,1214022.5,0.9935,0.048
HNF1B,40,0.791044776,409,-1,0.130316792,0.130316792,0.112993189,0,0,0,2.151396137,3.603700635,670,381,318,3621,1708,641,244,1028,5.862068966,87,33,6,15,9,1,4,15,1,2,30,4,4,134,119,39,287,/Users/kpolonsky/Downloads/TEST//MSAs//HNF1B_TRUE.fas,1324830.5,1.0045,0.0439
SLC39A6,40,0.74137931,624,-1,0.164710015,0.164710015,0.134814247,0,0.116906849,0,2.084470435,3.087459509,812,514,444,4322,2161,826,354,981,5.38317757,107,35,5,11,16,2,3,9,1,1,47,4,4,186,137,48,227,/Users/kpolonsky/Downloads/TEST//MSAs//SLC39A6_TRUE.fas,1851842.5,0.9941,0.0277
C3orf67,40,0.686842105,614,-1,0.186883719,0.186883719,0.129851589,0,0.234334205,0,2.136861871,3.528471044,760,424,343,4127,1598,741,428,1360,4.911111111,135,48,9,9,20,7,1,16,3,2,51,7,8,132,108,72,259,/Users/kpolonsky/Downloads/TEST//MSAs//C3orf67_TRUE.fas,1441023.5,0.9963,0.0335
NUDT12,40,0.730337079,408,-1,0.15045398,0.15045398,0.101310939,0,0.116906849,0,2.206430416,3.805416667,534,329,279,2400,946,509,215,730,5.24,75,22,3,6,14,4,3,10,0,1,29,1,3,157,94,24,191,/Users/kpolonsky/Downloads/TEST//MSAs//NUDT12_TRUE.fas,1254703.5,0.9979,0.0202
CERS3,40,0.764940239,399,-1,0.167203049,0.167203049,0.14308859,0,0,0,2.099148662,3.459459459,502,279,219,2923,1311,548,324,740,6.022727273,88,25,3,5,13,1,3,10,1,1,40,7,1,86,49,54,181,/Users/kpolonsky/Downloads/TEST//MSAs//CERS3_TRUE.fas,880078.5,0.9891,0.0388
LRRC7,40,0.834762722,990,-1,0.114729396,0.114729396,0.110783603,0,0,0,2.282255722,3.587929504,1749,1073,993,7887,3753,1515,563,2056,5.336683417,199,72,11,36,38,2,12,26,2,3,63,12,19,509,289,111,559,/Users/kpolonsky/Downloads/TEST//MSAs//LRRC7_TRUE.fas,4431836,0.9997,0.0145
AKAP7,40,0.677018634,376,-1,0.217133626,0.217133626,0.167077294,0,0.266384463,0,2.337412604,4.328502415,483,284,186,2484,1286,291,174,733,8.679487179,78,21,5,9,13,2,0,10,1,1,34,2,3,75,43,36,198,/Users/kpolonsky/Downloads/TEST//MSAs//AKAP7_TRUE.fas,680006,0.9888,0.046
LRRC6,40,0.689088191,552,-1,0.22578849,0.22578849,0.190595218,0,0.266384463,0,2.30112926,4.02175805,669,351,293,3447,1495,450,497,1005,7.341666667,120,42,6,4,20,1,1,3,0,1,55,10,1,74,89,76,258,/Users/kpolonsky/Downloads/TEST//MSAs//LRRC6_TRUE.fas,1067191.5,0.9972,0.0394
KIF3A,40,0.880165289,413,-1,0.077960201,0.077960201,0.077825123,0,0,0,2.485839493,3.299874135,726,493,417,3178,1422,500,421,835,4.098591549,71,33,3,19,6,1,6,11,0,4,21,4,10,286,85,45,212,/Users/kpolonsky/Downloads/TEST//MSAs//KIF3A_TRUE.fas,2086648,0.9988,0.0167
TTC39B,40,0.771827707,559,-1,0.156395591,0.156395591,0.139878448,0,0,0,2.008549844,4.649489548,859,436,360,4114,1552,621,464,1477,6.345238095,84,23,5,16,12,1,4,13,2,0,36,6,10,198,106,23,360,/Users/kpolonsky/Downloads/TEST//MSAs//TTC39B_TRUE.fas,1405663,1.0005,0.0416
TTC39C,40,0.850722311,416,-1,0.110259628,0.110259628,0.120691041,0,0,0,2.347664379,3.651124339,623,379,304,3024,1371,474,384,795,5.855263158,76,22,6,12,12,3,3,8,2,3,34,5,2,140,117,49,193,/Users/kpolonsky/Downloads/TEST//MSAs//TTC39C_TRUE.fas,1451370,0.9984,0.0219
PSRC1,40,0.706867672,461,-1,0.174163091,0.174163091,0.116780902,0,0.132691421,0,1.710885754,4.180854197,597,271,204,3395,1381,568,378,1068,6.636363636,121,35,8,6,15,2,1,14,0,1,57,8,5,70,50,37,267,/Users/kpolonsky/Downloads/TEST//MSAs//PSRC1_TRUE.fas,776920,0.9962,0.0671
KDR,40,0.797051597,1208,-1,0.146012204,0.146012204,0.139823076,0,0,0,2.322151467,3.890204229,2035,992,917,11066,4649,1820,992,3605,5.857638889,288,94,12,39,52,8,8,36,2,8,106,12,15,366,273,125,824,/Users/kpolonsky/Downloads/TEST//MSAs//KDR_TRUE.fas,3556089,0.9942,0.0462
NRP2,40,0.810734463,899,-1,0.14162327,0.14162327,0.150912065,0,0,0,2.463239053,4.067328225,1416,665,553,7961,3243,1552,653,2513,6.93852459,244,74,9,17,36,6,8,21,4,3,113,21,7,209,151,76,602,/Users/kpolonsky/Downloads/TEST//MSAs//NRP2_TRUE.fas,2106714.5,0.9982,0.0551
SKAP1,40,0.780876494,378,-1,0.133127246,0.133127246,0.106941208,0,0,0,1.9429083,4.74978204,502,274,201,2294,898,458,343,595,8.208333333,72,18,5,6,10,1,1,7,0,3,37,5,0,82,64,45,201,/Users/kpolonsky/Downloads/TEST//MSAs//SKAP1_TRUE.fas,860799.5,0.9977,0.0438
FRMD5,40,0.813291139,431,-1,0.104347711,0.104347711,0.081767074,0,0,0,1.946577717,3.40649908,632,382,305,3262,1584,579,304,795,6.938271605,81,22,3,12,14,3,3,10,0,2,35,4,4,144,128,49,225,/Users/kpolonsky/Downloads/TEST//MSAs//FRMD5_TRUE.fas,1483800,0.9988,0.0182
EPC1,40,0.853107345,470,-1,0.088246208,0.088246208,0.073639404,0,0,0,1.848628762,3.766157462,885,594,529,3404,1484,705,345,870,4.981132075,53,21,3,22,5,3,8,7,0,4,20,7,9,363,101,63,264,/Users/kpolonsky/Downloads/TEST//MSAs//EPC1_TRUE.fas,2481565.5,0.9981,0.0145
ERLEC1,40,0.837887067,403,-1,0.091870287,0.091870287,0.076083488,0,0,0,2.158438027,3.01393497,549,342,288,3014,1467,822,130,595,6.189189189,74,17,1,9,17,0,3,8,2,1,32,2,1,117,117,47,150,/Users/kpolonsky/Downloads/TEST//MSAs//ERLEC1_TRUE.fas,1337578.5,0.998,0.0212
WRN,40,0.698532681,1506,-1,0.195681558,0.195681558,0.146811802,0,0.233172602,0,2.203705729,4.251239808,2249,1043,870,11897,5210,2063,1141,3483,6.483957219,374,121,9,14,64,5,8,31,6,4,158,23,12,294,201,112,936,/Users/kpolonsky/Downloads/TEST//MSAs//WRN_TRUE.fas,3250235,0.9915,0.0717
C10orf118,40,0.736651584,763,-1,0.142865447,0.142865447,0.094876046,0,0.116906849,0,1.844338339,3.834975845,1105,648,549,5175,2083,946,528,1618,6.413043478,138,42,6,15,21,2,3,12,3,4,63,9,8,259,167,86,364,/Users/kpolonsky/Downloads/TEST//MSAs//C10orf118_TRUE.fas,2408764,0.997,0.0275
MUL1,40,0.828996283,427,-1,0.131865428,0.131865428,0.13081934,0,0,0,2.36035137,4.509170946,538,253,194,2726,1006,502,377,841,8.058139535,86,24,1,6,12,2,0,9,1,1,41,3,4,67,59,46,231,/Users/kpolonsky/Downloads/TEST//MSAs//MUL1_TRUE.fas,828614.5,0.9958,0.0538
DBC1,40,0.884337349,519,-1,0.099791595,0.099791595,0.121075313,0,0,0,2.386139326,3.499206769,830,537,476,3782,1996,496,256,1034,5.520547945,73,23,8,17,15,2,7,5,1,3,30,5,10,274,110,36,212,/Users/kpolonsky/Downloads/TEST//MSAs//DBC1_TRUE.fas,2081001.5,0.9993,0.0148
FBXL3,40,0.843971631,250,-1,0.100937303,0.100937303,0.097747687,0,0,0,1.955333951,3.887396033,423,308,244,1563,894,282,10,377,5.307692308,39,14,2,9,9,1,5,4,1,0,12,4,2,173,69,12,125,/Users/kpolonsky/Downloads/TEST//MSAs//FBXL3_TRUE.fas,1200443,0.9991,0.0065
CHMP4C,40,0.774193548,249,-1,0.131555789,0.131555789,0.103958197,0,0,0,1.966421612,3.810714286,310,170,101,1680,588,501,222,369,8.935483871,62,16,1,1,6,3,0,4,0,0,36,4,0,16,55,43,130,/Users/kpolonsky/Downloads/TEST//MSAs//CHMP4C_TRUE.fas,530395.5,0.9994,0.051
NOSTRIN,40,0.752747253,545,-1,0.163985119,0.163985119,0.135948656,0,0,0,2.278546039,3.945219376,728,360,306,3943,1424,967,295,1257,6.75257732,97,25,8,9,14,0,6,9,1,1,49,7,5,123,92,40,294,/Users/kpolonsky/Downloads/TEST//MSAs//NOSTRIN_TRUE.fas,1151476,0.9873,0.0429
ING3,40,0.830078125,353,-1,0.103199032,0.103199032,0.09439967,0,0,0,2.165924113,4.22698268,512,309,254,2194,971,440,64,719,7.533333333,60,17,3,9,13,0,7,7,2,0,23,2,3,142,88,22,176,/Users/kpolonsky/Downloads/TEST//MSAs//ING3_TRUE.fas,1167280.5,0.9982,0.02
SIN3A,40,0.843661972,860,-1,0.101887045,0.101887045,0.089913851,0,0,0,2.089062535,3.665315666,1420,875,795,6415,3133,798,562,1922,5.993377483,151,44,6,28,25,4,4,17,4,4,65,10,10,383,217,104,435,/Users/kpolonsky/Downloads/TEST//MSAs//SIN3A_TRUE.fas,3427788.5,0.9976,0.029
JHDM1D,40,0.800985222,671,-1,0.115121503,0.115121503,0.091583119,0,0,0,2.157361394,4.245618247,1015,616,521,4165,1878,676,357,1254,6.140495868,121,45,5,13,21,4,4,9,0,1,46,5,4,217,157,58,336,/Users/kpolonsky/Downloads/TEST//MSAs//JHDM1D_TRUE.fas,2313029,0.9995,0.0289
CLDN16,40,0.786177106,371,-1,0.147528788,0.147528788,0.129499622,0,0,0,2.17542793,4.424484645,463,218,176,2377,967,464,120,826,7.759493671,79,21,4,6,11,3,3,8,0,0,39,7,1,73,49,27,211,/Users/kpolonsky/Downloads/TEST//MSAs//CLDN16_TRUE.fas,669516.5,0.9942,0.0486
AMPD1,40,0.795735129,616,-1,0.142218442,0.142218442,0.131111036,0,0,0,2.488410312,3.009047994,891,531,468,5084,2896,835,317,1036,6.168067227,119,27,3,17,25,6,8,15,2,1,52,6,3,221,152,71,312,/Users/kpolonsky/Downloads/TEST//MSAs//AMPD1_TRUE.fas,2035609.5,0.9964,0.0197
TRIM36,40,0.807655502,722,-1,0.129104465,0.129104465,0.116380009,0,0,0,2.261358478,3.794946906,1045,576,476,5462,2405,982,412,1663,7.162650602,166,35,11,12,36,5,2,11,2,2,84,6,8,146,139,108,366,/Users/kpolonsky/Downloads/TEST//MSAs//TRIM36_TRUE.fas,2055278.5,1.0027,0.047
PLEKHS1,40,0.681081081,577,-1,0.260766472,0.260766472,0.233997128,0,0.362923472,0,2.530557377,4.258367721,740,313,234,4362,1541,658,562,1601,7.209944751,181,50,7,3,28,3,4,16,3,1,87,10,1,40,79,51,355,/Users/kpolonsky/Downloads/TEST//MSAs//PLEKHS1_TRUE.fas,682804.5,0.9869,0.0871
STAMBPL1,40,0.78390462,505,-1,0.161902167,0.161902167,0.156215218,0,0,0,2.285481308,3.799894403,671,335,281,3788,1876,470,500,942,8.18018018,111,33,4,5,16,2,4,10,0,3,52,6,2,81,92,65,283,/Users/kpolonsky/Downloads/TEST//MSAs//STAMBPL1_TRUE.fas,1130682,0.9974,0.0463
SLC9A2,40,0.795145631,761,-1,0.164409277,0.164409277,0.178231978,0,0,0,2.455796344,3.272712091,1030,575,507,5988,2874,1077,526,1511,6.779761905,168,61,10,16,18,5,5,15,1,1,74,7,3,171,157,69,365,/Users/kpolonsky/Downloads/TEST//MSAs//SLC9A2_TRUE.fas,1986351,0.992,0.0405
DPP8,40,0.82755102,574,-1,0.116539112,0.116539112,0.108215683,0,0,0,2.519471826,3.496267813,980,638,540,4421,2180,754,429,1058,4.8,105,36,8,19,19,6,7,11,2,2,39,5,6,328,132,64,262,/Users/kpolonsky/Downloads/TEST//MSAs//DPP8_TRUE.fas,2484030,0.9985,0.0224
GRIA2,40,0.890425532,532,-1,0.081575834,0.081575834,0.087321648,0,0,0,2.416981488,3.978789446,940,598,525,3866,1650,637,422,1157,5.777777778,90,27,8,18,19,1,4,4,1,4,40,6,10,312,127,57,312,/Users/kpolonsky/Downloads/TEST//MSAs//GRIA2_TRUE.fas,2403143,1.0006,0.0142
GSS,40,0.752012882,436,-1,0.145826448,0.145826448,0.108153758,0,0,0,1.854217589,3.63393679,621,344,298,3259,1626,463,173,997,6.404761905,84,23,1,3,16,4,0,6,0,1,39,4,7,95,134,55,228,/Users/kpolonsky/Downloads/TEST//MSAs//GSS_TRUE.fas,1264062,1.0035,0.0374
TNMD,40,0.730103806,230,-1,0.167599326,0.167599326,0.121825838,0,0.119246926,0,1.639170288,2.778645833,289,224,186,1152,661,192,45,254,6.710526316,38,12,2,6,6,0,1,1,2,0,19,1,1,82,63,30,50,/Users/kpolonsky/Downloads/TEST//MSAs//TNMD_TRUE.fas,868859,1.0005,0.0204
TMED8,40,0.715328467,322,-1,0.191893392,0.191893392,0.140719619,0,0.233172602,0,2.100002701,3.956766917,411,258,188,2128,1111,262,165,590,6.326086957,46,14,4,8,6,2,1,7,0,2,19,2,2,76,60,20,126,/Users/kpolonsky/Downloads/TEST//MSAs//TMED8_TRUE.fas,682976,0.996,0.0378
GNA13,40,0.847980998,314,-1,0.111710045,0.111710045,0.119999692,0,0,0,2.400688008,3.460391426,421,261,217,2146,1030,421,126,569,4.783333333,60,20,5,10,8,1,3,6,1,2,26,3,5,108,68,29,150,/Users/kpolonsky/Downloads/TEST//MSAs//GNA13_TRUE.fas,952208.5,0.9965,0.0268
